,0,1,2
0,0,-1,2
1,0,-1,3
2,0,-1,3
3,0,-1,3
4,0,-1,2
5,0,-1,0
6,0,-1,2
7,0,-1,3
8,0,-1,2
9,1,-1,2
10,1,-1,2
11,1,-1,3
12,1,-1,2
13,1,-1,2
14,1,-1,2
15,1,-1,2
16,1,-1,2
17,1,0,2
18,1,6,3
19,2,9,1
20,2,0,1
21,2,10,1
22,2,15,1
23,2,-1,1
24,2,-1,1
25,2,-1,1
26,2,-1,1
27,2,-1,0
28,2,14,0
29,3,-1,0
30,3,-1,0
31,3,-1,0
32,3,-1,0
33,3,-1,0
34,3,-1,0
35,3,-1,1
36,3,-1,0
37,3,18,0
38,3,-1,0
39,4,-1,2
40,4,-1,3
41,4,14,3
42,4,0,2
43,4,18,2
44,4,-1,3
45,4,26,3
46,4,23,3
47,4,29,2
48,4,-1,3
49,5,33,2
50,5,13,2
51,5,-1,3
52,5,-1,2
53,5,-1,2
54,5,10,2
55,5,14,2
56,5,18,2
57,5,-1,3
58,5,23,2
59,6,10,1
60,6,-1,1
61,6,33,0
62,6,-1,1
63,6,32,1
64,6,-1,1
65,6,19,1
66,6,6,1
67,6,-1,1
68,6,8,0
69,7,13,0
70,7,38,0
71,7,-1,0
72,7,0,1
73,7,-1,0
74,7,21,0
75,7,-1,0
76,7,-1,0
77,7,18,0
78,7,2,1
79,8,-1,0
80,8,-1,0
81,8,-1,0
82,8,33,0
83,8,-1,1
84,8,-1,0
85,8,25,0
86,8,32,0
87,8,14,2
88,8,6,0
89,9,-1,2
90,9,14,0
91,9,-1,0
92,9,-1,0
93,9,32,0
94,9,49,0
95,9,19,0
96,9,9,0
97,9,0,1
98,9,6,0
99,10,48,0
100,10,23,0
101,10,29,0
102,10,2,0
103,10,37,0
104,10,52,1
105,10,33,0
106,10,17,0
107,10,-1,0
108,10,0,1
109,11,48,0
110,11,-1,1
111,11,13,1
112,11,7,0
113,11,41,0
114,11,1,1
115,11,32,1
116,11,5,1
117,11,29,1
118,11,24,1
119,12,-1,3
120,12,11,2
121,12,13,3
122,12,23,2
123,12,41,3
124,12,6,3
125,12,7,3
126,12,2,2
127,12,9,3
128,12,10,3
129,13,9,1
130,13,33,0
131,13,34,1
132,13,-1,1
133,13,6,1
134,13,-1,1
135,13,-1,2
136,13,42,0
137,13,14,0
138,13,3,1
139,14,38,3
140,14,53,3
141,14,32,3
142,14,34,3
143,14,40,3
144,14,14,3
145,14,-1,3
146,14,41,2
147,14,0,2
148,14,26,3
149,15,45,0
150,15,54,0
151,15,32,0
152,15,-1,0
153,15,48,0
154,15,-1,0
155,15,8,1
156,15,23,0
157,15,29,0
158,15,-1,0
159,16,10,3
160,16,38,3
161,16,7,3
162,16,37,3
