,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,1
19,0
20,0
21,0
22,1
23,1
24,1
25,0
26,0
27,1
28,1
29,1
30,1
31,0
32,0
33,0
34,1
35,0
36,0
37,0
38,0
39,0
40,1
41,0
42,1
43,0
44,0
45,0
46,1
47,1
48,1
49,0
50,1
51,0
52,1
53,0
54,0
55,1
56,0
57,0
58,1
59,0
60,1
61,0
62,1
63,0
64,1
65,1
66,1
67,1
68,1
69,1
70,1
71,1
72,1
73,1
74,0
75,1
76,1
77,1
78,1
79,1
80,0
81,1
82,1
83,0
84,1
85,1
86,0
87,0
88,1
89,1
90,0
91,0
92,1
93,1
94,1
95,1
96,1
97,1
98,0
99,0
100,0
101,0
102,0
103,1
104,0
105,0
106,0
107,0
