,L,R
0,0.07625000000000004,-128.42239422353546
1,0.11375000000000002,-43.784207833149594
2,0.06999999999999995,-116.87004663099103
3,0.07250000000000001,-123.3184347315038
4,0.07125000000000004,-129.1039955245867
5,0.07250000000000001,-125.74644278091861
6,0.07125000000000004,-128.0127333508042
7,0.06625000000000003,-131.0805722852209
8,0.06874999999999998,-134.3195839183361
9,0.06625000000000003,-128.0645015907461
10,0.0675,-132.4027007981722
11,0.06874999999999998,-127.56960284450099
12,0.0675,-131.68244555978075
13,0.06625000000000003,-132.14154886334404
14,0.06874999999999998,-129.13474056407406
15,0.06999999999999995,-129.7485936057515
16,0.06499999999999995,-127.79781689991728
17,0.06499999999999995,-131.7618684779569
18,0.0675,-127.0922928283342
19,0.06499999999999995,-131.3371007474914
20,0.06874999999999998,-136.23109019098962
21,0.06625000000000003,-131.00803475711095
22,0.06625000000000003,-132.84763015338655
23,0.06499999999999995,-124.1289681533284
24,0.0675,-132.15593641384459
25,0.06874999999999998,-133.65261086035483
26,0.06625000000000003,-134.45821094937435
27,0.06625000000000003,-129.2736852011986
28,0.0675,-131.26381250518438
29,0.0675,-131.77954729323204
30,0.06625000000000003,-129.91231495002634
31,0.06499999999999995,-134.09064260988782
32,0.06625000000000003,-135.02949545790364
33,0.0675,-131.06799679316174
34,0.06625000000000003,-129.672708077967
35,0.0675,-132.57969181182975
36,0.0675,-131.47939068089278
37,0.0675,-134.80845704365723
38,0.0675,-133.28110967507237
39,0.06499999999999995,-135.61603618946515
40,0.0675,-134.94557934776617
41,0.0675,-126.7045909570173
42,0.0675,-130.80045381719432
43,0.0675,-131.05780554586872
44,0.0675,-129.10775189771906
45,0.0675,-130.5210494244646
46,0.0675,-129.47966769853664
47,0.0675,-130.76763505064892
48,0.06625000000000003,-132.3600574905142
49,0.0675,-131.44830651312682
50,0.0675,-132.90581800953677
51,0.06625000000000003,-132.785207132584
52,0.0675,-132.27576234420826
53,0.06625000000000003,-135.56726833847935
54,0.0675,-132.8277127014599
55,0.0675,-131.17519745222262
56,0.0675,-130.52818594344325
57,0.0675,-130.52893738207752
58,0.0675,-131.07355966557023
59,0.0675,-129.34056306454434
60,0.0675,-129.9355837233198
61,0.0675,-131.74560351228598
62,0.0675,-131.33683073554212
63,0.0675,-133.87530747969768
64,0.06625000000000003,-128.31995123639362
65,0.0675,-132.11869071694267
66,0.0675,-134.8565584936935
67,0.06625000000000003,-134.03913998612393
