,DS,MV,proposed
0,0.92375,0.91875,0.88625
1,0.92375,0.91875,0.93
2,0.92375,0.91875,0.9275
3,0.92375,0.91875,0.92875
4,0.92375,0.91875,0.9275
5,0.92375,0.91875,0.92875
6,0.92375,0.91875,0.93375
7,0.92375,0.91875,0.93125
8,0.92375,0.91875,0.93375
9,0.92375,0.91875,0.9325
10,0.92375,0.91875,0.93125
11,0.92375,0.91875,0.9325
12,0.92375,0.91875,0.93375
13,0.92375,0.91875,0.93125
14,0.92375,0.91875,0.93
15,0.92375,0.91875,0.935
16,0.92375,0.91875,0.935
17,0.92375,0.91875,0.9325
18,0.92375,0.91875,0.935
19,0.92375,0.91875,0.93125
20,0.92375,0.91875,0.93375
21,0.92375,0.91875,0.93375
22,0.92375,0.91875,0.935
23,0.92375,0.91875,0.9325
24,0.92375,0.91875,0.93125
25,0.92375,0.91875,0.93375
26,0.92375,0.91875,0.93375
27,0.92375,0.91875,0.9325
28,0.92375,0.91875,0.9325
29,0.92375,0.91875,0.93375
30,0.92375,0.91875,0.935
31,0.92375,0.91875,0.93375
32,0.92375,0.91875,0.9325
33,0.92375,0.91875,0.93375
34,0.92375,0.91875,0.9325
35,0.92375,0.91875,0.9325
36,0.92375,0.91875,0.9325
37,0.92375,0.91875,0.9325
38,0.92375,0.91875,0.935
39,0.92375,0.91875,0.9325
40,0.92375,0.91875,0.9325
41,0.92375,0.91875,0.9325
42,0.92375,0.91875,0.9325
43,0.92375,0.91875,0.9325
44,0.92375,0.91875,0.9325
45,0.92375,0.91875,0.9325
46,0.92375,0.91875,0.9325
47,0.92375,0.91875,0.93375
48,0.92375,0.91875,0.9325
49,0.92375,0.91875,0.9325
50,0.92375,0.91875,0.93375
51,0.92375,0.91875,0.9325
52,0.92375,0.91875,0.93375
53,0.92375,0.91875,0.9325
54,0.92375,0.91875,0.9325
55,0.92375,0.91875,0.9325
56,0.92375,0.91875,0.9325
57,0.92375,0.91875,0.9325
58,0.92375,0.91875,0.9325
59,0.92375,0.91875,0.9325
60,0.92375,0.91875,0.9325
61,0.92375,0.91875,0.9325
62,0.92375,0.91875,0.9325
63,0.92375,0.91875,0.93375
64,0.92375,0.91875,0.9325
65,0.92375,0.91875,0.9325
66,0.92375,0.91875,0.93375
67,0.92375,0.91875,0.9325
68,0.92375,0.91875,0.9325
69,0.92375,0.91875,0.9325
70,0.92375,0.91875,0.93375
71,0.92375,0.91875,0.93375
72,0.92375,0.91875,0.9325
73,0.92375,0.91875,0.9325
74,0.92375,0.91875,0.9325
75,0.92375,0.91875,0.9325
76,0.92375,0.91875,0.9325
77,0.92375,0.91875,0.9325
78,0.92375,0.91875,0.93125
79,0.92375,0.91875,0.9325
80,0.92375,0.91875,0.93125
81,0.92375,0.91875,0.9325
82,0.92375,0.91875,0.9325
83,0.92375,0.91875,0.9325
84,0.92375,0.91875,0.9325
85,0.92375,0.91875,0.9325
86,0.92375,0.91875,0.9325
87,0.92375,0.91875,0.9325
88,0.92375,0.91875,0.9325
89,0.92375,0.91875,0.9325
90,0.92375,0.91875,0.9325
91,0.92375,0.91875,0.9325
92,0.92375,0.91875,0.9325
93,0.92375,0.91875,0.9325
94,0.92375,0.91875,0.9325
95,0.92375,0.91875,0.9325
96,0.92375,0.91875,0.9325
97,0.92375,0.91875,0.9325
98,0.92375,0.91875,0.9325
99,0.92375,0.91875,0.9325
100,0.92375,0.91875,0.9325
101,0.92375,0.91875,0.9325
102,0.92375,0.91875,0.9325
103,0.92375,0.91875,0.9325
104,0.92375,0.91875,0.9325
105,0.92375,0.91875,0.9325
106,0.92375,0.91875,0.9325
107,0.92375,0.91875,0.9325
108,0.92375,0.91875,0.9325
109,0.92375,0.91875,0.9325
110,0.92375,0.91875,0.9325
111,0.92375,0.91875,0.9325
112,0.92375,0.91875,0.9325
113,0.92375,0.91875,0.9325
114,0.92375,0.91875,0.9325
115,0.92375,0.91875,0.9325
116,0.92375,0.91875,0.9325
117,0.92375,0.91875,0.9325
118,0.92375,0.91875,0.9325
119,0.92375,0.91875,0.9325
120,0.92375,0.91875,0.9325
121,0.92375,0.91875,0.9325
122,0.92375,0.91875,0.9325
123,0.92375,0.91875,0.9325
124,0.92375,0.91875,0.9325
125,0.92375,0.91875,0.9325
126,0.92375,0.91875,0.9325
127,0.92375,0.91875,0.93375
128,0.92375,0.91875,0.9325
129,0.92375,0.91875,0.9325
130,0.92375,0.91875,0.9325
131,0.92375,0.91875,0.9325
132,0.92375,0.91875,0.9325
133,0.92375,0.91875,0.9325
134,0.92375,0.91875,0.9325
135,0.92375,0.91875,0.9325
136,0.92375,0.91875,0.9325
137,0.92375,0.91875,0.9325
138,0.92375,0.91875,0.9325
139,0.92375,0.91875,0.9325
140,0.92375,0.91875,0.9325
141,0.92375,0.91875,0.9325
142,0.92375,0.91875,0.9325
143,0.92375,0.91875,0.93375
144,0.92375,0.91875,0.9325
145,0.92375,0.91875,0.93375
146,0.92375,0.91875,0.93375
147,0.92375,0.91875,0.9325
148,0.92375,0.91875,0.93375
149,0.92375,0.91875,0.93375
150,0.92375,0.91875,0.93375
151,0.92375,0.91875,0.93375
152,0.92375,0.91875,0.93375
153,0.92375,0.91875,0.93375
154,0.92375,0.91875,0.9325
155,0.92375,0.91875,0.9325
156,0.92375,0.91875,0.9325
157,0.92375,0.91875,0.93
158,0.92375,0.91875,0.93375
159,0.92375,0.91875,0.9325
160,0.92375,0.91875,0.9325
161,0.92375,0.91875,0.9325
162,0.92375,0.91875,0.9325
