,0,1,2
0,0,0,0
1,1,0,1
2,2,0,1
3,3,0,1
4,4,0,1
5,5,0,1
6,6,0,1
7,7,0,1
8,8,0,1
9,9,0,1
10,10,0,1
11,11,0,0
12,12,0,0
13,13,0,0
14,14,0,0
15,15,0,0
16,16,0,0
17,17,0,1
18,18,0,1
19,19,0,1
20,20,0,1
21,21,0,1
22,22,0,1
23,23,0,1
24,24,0,1
25,25,0,1
26,26,0,1
27,27,0,1
28,28,0,0
29,29,0,0
30,30,0,0
31,31,0,0
32,32,0,0
33,33,0,1
34,34,0,1
35,35,0,1
36,36,0,1
37,37,0,1
38,38,0,1
39,39,0,1
40,40,0,1
41,41,0,1
42,42,0,1
43,43,0,1
44,44,0,1
45,45,0,1
46,46,0,1
47,47,0,1
48,48,0,1
49,49,0,1
50,50,0,1
51,51,0,0
52,52,0,1
53,53,0,1
54,54,0,1
55,55,0,1
56,56,0,1
57,57,0,0
58,58,0,1
59,59,0,0
60,60,0,1
61,61,0,1
62,62,0,1
63,63,0,1
64,64,0,1
65,65,0,1
66,66,0,1
67,67,0,1
68,68,0,1
69,69,0,1
70,70,0,1
71,71,0,1
72,72,0,1
73,73,0,1
74,74,0,1
75,75,0,1
76,76,0,1
77,77,0,1
78,78,0,1
79,79,0,1
80,80,0,1
81,81,0,1
82,82,0,1
83,83,0,0
84,84,0,1
85,85,0,1
86,86,0,0
87,87,0,0
88,88,0,1
89,89,0,1
90,90,0,1
91,91,0,1
92,92,0,1
93,93,0,1
94,94,0,1
95,95,0,0
96,96,0,1
97,97,0,1
98,98,0,1
99,99,0,1
100,100,0,1
101,101,0,1
102,102,0,1
103,103,0,1
104,104,0,1
105,105,0,1
106,106,0,1
107,107,0,1
108,0,1,1
109,1,1,0
110,2,1,1
111,3,1,1
112,4,1,1
113,5,1,1
114,6,1,1
115,7,1,1
116,8,1,1
117,9,1,1
118,10,1,1
119,11,1,0
120,12,1,0
121,13,1,0
122,14,1,0
123,15,1,0
124,16,1,0
125,17,1,1
126,18,1,0
127,19,1,0
128,20,1,0
129,21,1,1
130,22,1,1
131,23,1,1
132,24,1,1
133,25,1,0
134,26,1,0
135,27,1,0
136,28,1,1
137,29,1,1
138,30,1,1
139,31,1,1
140,32,1,0
141,33,1,0
142,34,1,1
143,35,1,0
144,36,1,1
145,37,1,0
146,38,1,1
147,39,1,1
148,40,1,1
149,41,1,0
150,42,1,1
151,43,1,0
152,44,1,1
153,45,1,0
154,46,1,1
155,47,1,1
156,48,1,0
157,49,1,1
158,50,1,1
159,51,1,0
160,52,1,1
161,53,1,1
162,54,1,1
163,55,1,1
164,56,1,0
165,57,1,1
166,58,1,0
167,59,1,1
168,60,1,1
169,61,1,1
170,62,1,1
171,63,1,1
172,64,1,1
173,65,1,0
174,66,1,1
175,67,1,1
176,68,1,1
177,69,1,1
178,70,1,1
179,71,1,1
180,72,1,1
181,73,1,1
182,74,1,0
183,75,1,1
184,76,1,1
185,77,1,1
186,78,1,1
187,79,1,0
188,80,1,1
189,81,1,1
190,82,1,0
191,83,1,0
192,84,1,0
193,85,1,0
194,86,1,1
195,87,1,1
196,88,1,1
197,89,1,1
198,90,1,1
199,91,1,0
200,92,1,0
201,93,1,1
202,94,1,1
203,95,1,0
204,96,1,0
205,97,1,1
206,98,1,1
207,99,1,1
208,100,1,1
209,101,1,0
210,102,1,1
211,103,1,1
212,104,1,1
213,105,1,0
214,106,1,1
215,107,1,1
216,0,2,1
217,1,2,0
218,2,2,0
219,3,2,0
220,4,2,1
221,5,2,1
222,6,2,0
223,7,2,0
224,8,2,0
225,9,2,0
226,10,2,1
227,11,2,0
228,12,2,0
229,13,2,0
230,14,2,0
231,15,2,0
232,16,2,0
233,17,2,0
234,18,2,0
235,19,2,0
236,20,2,0
237,21,2,1
238,22,2,1
239,23,2,0
240,24,2,0
241,25,2,0
242,26,2,0
243,27,2,0
244,28,2,0
245,29,2,0
246,30,2,1
247,31,2,0
248,32,2,0
249,33,2,0
250,34,2,0
251,35,2,0
252,36,2,0
253,37,2,0
254,38,2,0
255,39,2,0
256,40,2,0
257,41,2,0
258,42,2,0
259,43,2,0
260,44,2,0
261,45,2,0
262,46,2,1
263,47,2,0
264,48,2,0
265,49,2,0
266,50,2,0
267,51,2,0
268,52,2,0
269,53,2,0
270,54,2,0
271,55,2,0
272,56,2,0
273,57,2,1
274,58,2,0
275,59,2,0
276,60,2,0
277,61,2,0
278,62,2,0
279,63,2,0
280,64,2,0
281,65,2,0
282,66,2,0
283,67,2,0
284,68,2,0
285,69,2,1
286,70,2,0
287,71,2,0
288,72,2,0
289,73,2,0
290,74,2,0
291,75,2,0
292,76,2,0
293,77,2,0
294,78,2,0
295,79,2,0
296,80,2,1
297,81,2,0
298,82,2,0
299,83,2,0
300,84,2,0
301,85,2,0
302,86,2,0
303,87,2,0
304,88,2,0
305,89,2,1
306,90,2,0
307,91,2,0
308,92,2,0
309,93,2,0
310,94,2,0
311,95,2,0
312,96,2,0
313,97,2,0
314,98,2,0
315,99,2,0
316,100,2,0
317,101,2,0
318,102,2,0
319,103,2,0
320,104,2,1
321,105,2,0
322,106,2,0
323,107,2,0
324,0,3,0
325,1,3,0
326,2,3,0
327,3,3,0
328,4,3,0
329,5,3,0
330,6,3,0
331,7,3,0
332,8,3,0
333,9,3,0
334,10,3,0
335,11,3,0
336,12,3,0
337,13,3,0
338,14,3,0
339,15,3,0
340,16,3,0
341,17,3,0
342,18,3,0
343,19,3,0
344,20,3,0
345,21,3,1
346,22,3,1
347,23,3,1
348,24,3,1
349,25,3,0
350,26,3,0
351,27,3,1
352,28,3,1
353,29,3,1
354,30,3,1
355,31,3,0
356,32,3,0
357,33,3,0
358,34,3,1
359,35,3,0
360,36,3,0
361,37,3,0
362,38,3,0
363,39,3,0
364,40,3,1
365,41,3,0
366,42,3,0
367,43,3,0
368,44,3,0
369,45,3,0
370,46,3,1
371,47,3,0
372,48,3,0
373,49,3,0
374,50,3,1
375,51,3,0
376,52,3,0
377,53,3,0
378,54,3,0
379,55,3,0
380,56,3,0
381,57,3,0
382,58,3,0
383,59,3,0
384,60,3,1
385,61,3,0
386,62,3,1
387,63,3,0
388,64,3,1
389,65,3,1
390,66,3,0
391,67,3,1
392,68,3,1
393,69,3,1
394,70,3,0
395,71,3,0
396,72,3,0
397,73,3,0
398,74,3,0
399,75,3,0
400,76,3,1
401,77,3,1
402,78,3,1
403,79,3,0
404,80,3,0
405,81,3,1
406,82,3,0
407,83,3,0
408,84,3,0
409,85,3,0
410,86,3,0
411,87,3,0
412,88,3,1
413,89,3,1
414,90,3,0
415,91,3,0
416,92,3,0
417,93,3,1
418,94,3,1
419,95,3,0
420,96,3,1
421,97,3,1
422,98,3,0
423,99,3,0
424,100,3,0
425,101,3,0
426,102,3,0
427,103,3,0
428,104,3,0
429,105,3,0
430,106,3,1
431,107,3,0
432,0,4,1
433,1,4,0
434,2,4,1
435,3,4,1
436,4,4,1
437,5,4,1
438,6,4,1
439,7,4,0
440,8,4,1
441,9,4,0
442,10,4,1
443,11,4,1
444,12,4,1
445,13,4,0
446,14,4,0
447,15,4,0
448,16,4,0
449,17,4,1
450,18,4,1
451,19,4,1
452,20,4,1
453,21,4,1
454,22,4,1
455,23,4,1
456,24,4,1
457,25,4,1
458,26,4,1
459,27,4,1
460,28,4,1
461,29,4,1
462,30,4,1
463,31,4,1
464,32,4,1
465,33,4,0
466,34,4,1
467,35,4,1
468,36,4,1
469,37,4,1
470,38,4,0
471,39,4,0
472,40,4,0
473,41,4,1
474,42,4,1
475,43,4,1
476,44,4,1
477,45,4,0
478,46,4,1
479,47,4,1
480,48,4,0
481,49,4,1
482,50,4,1
483,51,4,0
484,52,4,1
485,53,4,1
486,54,4,1
487,55,4,1
488,56,4,1
489,57,4,1
490,58,4,0
491,59,4,1
492,60,4,1
493,61,4,0
494,62,4,1
495,63,4,0
496,64,4,1
497,65,4,1
498,66,4,1
499,67,4,1
500,68,4,1
501,69,4,1
502,70,4,1
503,71,4,1
504,72,4,1
505,73,4,1
506,74,4,0
507,75,4,1
508,76,4,1
509,77,4,1
510,78,4,0
511,79,4,1
512,80,4,1
513,81,4,1
514,82,4,1
515,83,4,0
516,84,4,1
517,85,4,1
518,86,4,1
519,87,4,1
520,88,4,1
521,89,4,1
