,DS,MV,proposed1(wcv)
0,1.0,1.0,1.0
0,0.99,1.0,0.99
0,0.99,0.98,0.99
0,1.0,0.99,1.0
0,1.0,0.99,1.0
0,1.0,1.0,1.0
0,1.0,0.98,1.0
0,1.0,0.96,1.0
0,0.99,0.93,0.99
0,1.0,0.94,1.0
0,1.0,0.9,1.0
0,1.0,0.92,1.0
0,1.0,0.93,1.0
0,1.0,0.87,1.0
0,1.0,0.77,1.0
0,1.0,0.83,1.0
0,0.99,0.79,1.0
0,1.0,0.77,1.0
0,1.0,0.73,0.99
0,1.0,0.77,1.0
0,1.0,0.7,1.0
0,1.0,0.7,0.61
0,1.0,0.65,0.65
0,1.0,0.6,0.53
0,0.99,0.53,0.54
0,1.0,0.52,0.54
0,0.01,0.52,0.49
0,0.0,0.44,0.44
0,0.0,0.42,0.38
0,0.0,0.33,0.38
0,0.0,0.3,0.0
0,0.0,0.25,0.0
0,0.0,0.23,0.0
0,0.0,0.26,0.0
0,0.0,0.15,0.0
0,0.0,0.26,0.0
0,0.0,0.12,0.0
0,0.0,0.1,0.0
0,0.0,0.13,0.01
0,0.0,0.05,0.0
0,0.0,0.09,0.0
0,0.0,0.1,0.0
0,0.0,0.12,0.0
0,0.0,0.01,0.0
0,0.0,0.03,0.0
0,0.01,0.02,0.0
0,0.0,0.01,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.01,0.01,0.01
