,DS,MV,proposed1(wcv)
0,0.987,0.995,0.995
0,0.983,0.991,0.994
0,0.975,0.992,0.996
0,0.981,0.99,0.995
0,0.986,0.983,0.996
0,0.977,0.984,0.991
0,0.986,0.977,0.993
0,0.985,0.98,0.996
0,0.989,0.97,0.996
0,0.986,0.965,0.995
0,0.985,0.966,0.991
0,0.982,0.956,0.992
0,0.982,0.946,0.989
0,0.974,0.93,0.991
0,0.981,0.944,0.992
0,0.982,0.928,0.99
0,0.983,0.916,0.997
0,0.989,0.92,0.993
0,0.986,0.919,0.992
0,0.982,0.901,0.989
0,0.984,0.912,0.992
0,0.986,0.893,0.995
0,0.98,0.862,0.991
0,0.98,0.847,0.99
0,0.983,0.871,0.992
0,0.988,0.852,0.995
0,0.987,0.793,0.992
0,0.983,0.794,0.991
0,0.98,0.814,0.993
0,0.992,0.806,0.995
0,0.984,0.795,0.991
0,0.99,0.735,0.992
0,0.979,0.751,0.99
0,0.977,0.715,0.996
0,0.984,0.726,0.995
0,0.979,0.723,0.989
0,0.983,0.698,0.996
0,0.986,0.684,0.993
0,0.981,0.671,0.995
0,0.98,0.634,0.998
0,0.988,0.626,0.997
0,0.989,0.622,0.996
0,0.98,0.608,0.986
0,0.985,0.597,0.993
0,0.987,0.584,0.996
0,0.985,0.558,0.99
0,0.977,0.545,0.991
0,0.99,0.54,0.995
0,0.98,0.502,0.992
0,0.984,0.538,0.996
0,0.014,0.486,0.996
