,DS,DS_lb,MV,proposed1(wcv),proposed1(wcv)_lb
0,0.7,-1.3725059478088373,,0.94,-63.57569765785546
0,0.7,-0.3518375239677105,,0.94,-35.26639319824423
0,0.71,-3.729426262600439,,0.96,-41.44036079323139
0,0.7,-2.614045156354998,,0.95,-93.11931720390248
0,0.7,-1.5563006985491148,,0.97,-46.261031797508075
0,0.78,-3.2211469036374414,,0.97,-32.75775745981519
0,0.7,0.0025622857143466284,,0.98,-151.98295351893026
0,0.92,-4.794371110727608,,0.99,-124.7604636115706
0,0.7,-1.5992178530403125,,1.0,-47.197718623566495
0,0.72,-4.60851838025098,,0.97,-51.261604765742966
0,0.76,-5.247275877094275,,1.0,-42.65927768514287
0,0.7,0.1650498196187257,,0.78,-3.1729928815181854
0,0.7,0.018632830006265342,,1.0,-60.29682707744035
0,0.9,-5.32745073011742,,0.98,-100.34438984232938
0,0.7,0.23654290096006905,,0.92,-59.8377777020754
0,0.72,-5.199752942416158,,0.97,-46.011251808775874
0,0.8,-3.9939743939920738,,0.96,-56.62998044182902
0,0.7,-2.0181923072410277,,0.7,0.6917659287594675
0,0.91,-8.318408217406713,,0.98,-76.6793879832336
0,0.71,-3.701960580149768,,0.97,-55.28943844208039
0,0.86,0.012102922564180718,,0.79,0.5767451854171423
0,0.7,0.4122174992751079,,0.68,0.2835793337249828
0,0.7,-2.0985024480687975,,0.65,-1.1445024378275812
0,0.3,-3.1888427181464567,,0.3,0.6928356837828324
0,0.08,0.6504925788526362,,0.54,0.655139117215764
0,0.3,-2.300188366421286,,0.55,-0.29892978336082826
0,0.7,0.017346743925889467,,0.72,0.6757805581964115
0,0.24,-2.997744601332289,,0.54,-1.1139848750192463
0,0.7,-1.371552715432546,,0.72,-1.4323530367944912
0,0.3,-1.2864447828288348,,0.25,0.6557900079447816
0,0.3,-0.04588733834341859,,0.03,-37.42673212274339
0,0.3,0.5415324056865903,,0.3,0.6571284038844556
0,0.3,0.0007447908491181164,,0.23,-1.3722337606962491
0,0.3,0.33338892929039754,,0.0,-45.44797794731265
0,0.23,-1.763392456945899,,0.1,-50.190671459439315
0,0.29,-3.9175973443835788,,0.06,-42.209204752995106
0,0.3,-3.2400436811516826,,0.08,-180.7297324747992
0,0.27,-4.850220635497223,,0.08,-50.866295938643866
0,0.3,0.011198167961983835,,0.05,-42.3243199408758
0,0.3,0.19892498417897883,,0.04,-44.24105832948681
0,0.3,0.20297111810695442,,0.09,-28.52255085973812
0,0.07,-6.582055627733631,,0.03,-64.00450023245659
0,0.3,-2.35728121391213,,0.02,-46.48163371656598
0,0.08,-6.7567364245009305,,0.02,-59.78126883039254
0,0.27,-5.132433351295334,,0.01,-71.48912155273665
0,0.28,-2.494011690085038,,0.01,-45.080734573092016
0,0.21,-3.9378489585141283,,0.03,-89.51830830483618
0,0.26,-2.7518393337724767,,0.05,-42.54037975533869
0,0.3,0.01596577216132032,,0.07,-41.15477365076495
0,0.3,-1.7162394041566098,,0.06,-56.57893270508592
0,0.3,-0.0038142254843220045,,0.01,-33.1795137410853
