,DS,MV,proposed1(wcv),proposed2(wcv_wp)
0,0.94,0.6,0.52,0.52
1,0.94,0.6,0.52,0.52
2,0.94,0.6,0.52,0.5
3,0.94,0.6,0.52,0.5
4,0.94,0.6,0.52,0.5
5,0.94,0.6,0.52,0.5
6,0.94,0.6,0.52,0.5
7,0.94,0.6,0.52,0.5
8,0.94,0.6,0.52,0.5
9,0.94,0.6,0.52,0.5
10,0.94,0.6,0.52,0.5
11,0.94,0.6,0.52,0.5
12,0.94,0.6,0.52,0.5
13,0.94,0.6,0.52,0.5
14,0.94,0.6,0.52,0.5
15,0.94,0.6,0.52,0.5
16,0.94,0.6,0.52,0.5
17,0.94,0.6,0.52,0.5
18,0.94,0.6,0.52,0.5
19,0.94,0.6,0.52,0.5
20,0.94,0.6,0.52,0.5
21,0.94,0.6,0.52,0.5
22,0.94,0.6,0.52,0.5
23,0.94,0.6,0.52,0.5
24,0.94,0.6,0.52,0.5
25,0.94,0.6,0.52,0.5
26,0.94,0.6,0.52,0.5
27,0.94,0.6,0.52,0.5
28,0.94,0.6,0.52,0.5
29,0.94,0.6,0.52,0.5
30,0.94,0.6,0.52,0.5
31,0.94,0.6,0.52,0.5
32,0.94,0.6,0.52,0.5
33,0.94,0.6,0.52,0.5
34,0.94,0.6,0.52,0.5
35,0.94,0.6,0.52,0.5
36,0.94,0.6,0.52,0.5
37,0.94,0.6,0.52,0.5
38,0.94,0.6,0.52,0.5
39,0.94,0.6,0.52,0.5
40,0.94,0.6,0.52,0.5
41,0.94,0.6,0.52,0.5
42,0.94,0.6,0.52,0.5
43,0.94,0.6,0.52,0.5
44,0.94,0.6,0.52,0.5
45,0.94,0.6,0.52,0.5
46,0.94,0.6,0.52,0.5
47,0.94,0.6,0.52,0.5
48,0.94,0.6,0.52,0.5
49,0.94,0.6,0.52,0.5
