,DS,MV,proposed1(wcv)
0,0.82,0.92,0.97
0,0.91,0.93,0.96
0,0.85,0.92,0.97
0,0.89,0.99,0.99
0,0.89,0.94,0.97
0,0.9,0.92,0.95
0,0.85,0.9,0.99
0,0.87,0.91,0.98
0,0.86,0.86,0.86
0,0.83,0.82,0.97
0,0.87,0.92,0.96
0,0.89,0.89,0.99
0,0.87,0.85,0.99
0,0.86,0.81,0.87
0,0.84,0.86,0.93
0,0.88,0.79,0.98
0,0.86,0.82,0.95
0,0.88,0.8,0.95
0,0.82,0.78,0.92
0,0.84,0.74,0.94
0,0.84,0.8,0.96
0,0.82,0.81,0.91
0,0.9,0.75,0.94
0,0.88,0.76,0.9
0,0.84,0.75,0.97
0,0.87,0.69,0.91
0,0.89,0.74,0.98
0,0.91,0.64,0.93
0,0.87,0.73,0.96
0,0.87,0.65,0.8
0,0.88,0.64,0.76
0,0.88,0.66,0.8
0,0.86,0.67,0.94
0,0.9,0.57,0.91
0,0.93,0.59,0.85
0,0.91,0.58,0.8
0,0.88,0.62,0.75
0,0.85,0.54,0.8
0,0.84,0.6,0.93
0,0.91,0.47,0.69
0,0.84,0.53,0.63
0,0.86,0.56,0.8
0,0.82,0.6,0.93
0,0.1,0.43,0.8
0,0.8,0.43,0.73
0,0.09,0.51,0.2
0,0.86,0.44,0.58
0,0.87,0.43,0.81
0,0.16,0.5,0.2
0,0.89,0.44,0.74
0,0.13,0.43,0.43
0,0.18,0.42,0.71
0,0.1,0.34,0.2
0,0.1,0.38,0.22
0,0.92,0.39,0.78
0,0.11,0.36,0.8
0,0.16,0.37,0.2
0,0.12,0.31,0.2
0,0.13,0.35,0.02
0,0.17,0.32,0.14
0,0.15,0.3,0.2
0,0.08,0.32,0.2
0,0.18,0.35,0.2
0,0.11,0.28,0.2
0,0.11,0.28,0.2
0,0.18,0.32,0.13
0,0.1,0.3,0.17
0,0.14,0.21,0.05
0,0.11,0.27,0.03
0,0.14,0.24,0.19
0,0.14,0.3,0.1
0,0.17,0.21,0.14
0,0.13,0.14,0.02
0,0.15,0.19,0.08
0,0.2,0.2,0.08
0,0.17,0.18,0.08
0,0.15,0.2,0.04
0,0.1,0.14,0.07
0,0.09,0.18,0.06
0,0.12,0.14,0.01
0,0.1,0.07,0.03
0,0.18,0.2,0.03
0,0.11,0.13,0.04
0,0.16,0.1,0.04
0,0.05,0.13,0.05
0,0.18,0.15,0.1
0,0.11,0.06,0.01
0,0.2,0.1,0.07
0,0.16,0.11,0.1
0,0.12,0.08,0.09
0,0.17,0.08,0.04
0,0.17,0.06,0.03
0,0.17,0.05,0.04
0,0.16,0.04,0.03
0,0.11,0.01,0.01
0,0.08,0.03,0.03
0,0.17,0.04,0.02
0,0.1,0.03,0.01
0,0.12,0.02,0.02
0,0.13,0.04,0.04
0,0.1,0.02,0.02
