,DS,MV,proposed1(wcv)
0,0.938,0.964,0.968
0,0.947,0.957,0.979
0,0.96,0.941,0.97
0,0.962,0.947,0.985
0,0.937,0.94,0.972
0,0.92,0.935,0.972
0,0.954,0.917,0.98
0,0.94,0.924,0.963
0,0.936,0.898,0.973
0,0.956,0.896,0.975
0,0.949,0.916,0.979
0,0.945,0.916,0.972
0,0.945,0.893,0.981
0,0.933,0.901,0.968
0,0.963,0.869,0.981
0,0.937,0.857,0.971
0,0.935,0.835,0.981
0,0.949,0.875,0.977
0,0.927,0.822,0.979
0,0.948,0.85,0.981
0,0.936,0.841,0.967
0,0.948,0.811,0.976
0,0.948,0.77,0.973
0,0.95,0.807,0.98
0,0.955,0.756,0.982
0,0.925,0.827,0.966
0,0.936,0.726,0.974
0,0.943,0.75,0.974
0,0.927,0.72,0.969
0,0.948,0.721,0.973
0,0.935,0.726,0.973
0,0.94,0.717,0.961
0,0.95,0.705,0.978
0,0.949,0.658,0.975
0,0.956,0.627,0.985
0,0.947,0.597,0.978
0,0.948,0.572,0.986
0,0.949,0.561,0.977
0,0.96,0.558,0.975
0,0.943,0.709,0.979
0,0.934,0.594,0.973
0,0.929,0.603,0.968
0,0.956,0.608,0.974
0,0.955,0.605,0.983
0,0.953,0.55,0.981
0,0.954,0.492,0.976
0,0.057,0.425,0.025
0,0.95,0.535,0.982
0,0.949,0.464,0.976
0,0.954,0.493,0.978
0,0.939,0.515,0.976
0,0.05,0.444,0.026
0,0.947,0.483,0.982
0,0.06,0.422,0.024
0,0.944,0.459,0.026
0,0.052,0.41,0.018
0,0.058,0.414,0.02
0,0.042,0.316,0.021
0,0.066,0.334,0.025
0,0.037,0.368,0.024
0,0.048,0.316,0.025
0,0.062,0.298,0.023
0,0.035,0.325,0.018
0,0.066,0.376,0.033
0,0.052,0.263,0.022
0,0.051,0.255,0.016
0,0.062,0.252,0.029
0,0.064,0.199,0.018
0,0.045,0.225,0.024
0,0.056,0.271,0.014
0,0.057,0.223,0.024
0,0.046,0.231,0.024
0,0.052,0.216,0.019
0,0.064,0.2,0.031
0,0.05,0.196,0.017
0,0.059,0.204,0.02
0,0.05,0.214,0.022
0,0.065,0.176,0.024
0,0.054,0.129,0.023
0,0.077,0.135,0.024
0,0.05,0.129,0.03
0,0.055,0.118,0.02
0,0.046,0.121,0.029
0,0.046,0.119,0.02
0,0.079,0.076,0.023
0,0.057,0.095,0.026
0,0.046,0.094,0.029
0,0.045,0.099,0.021
0,0.029,0.054,0.016
0,0.04,0.073,0.025
0,0.064,0.053,0.02
0,0.047,0.06,0.024
0,0.043,0.063,0.021
0,0.045,0.035,0.016
0,0.044,0.045,0.024
0,0.059,0.047,0.03
0,0.043,0.037,0.024
0,0.049,0.019,0.011
0,0.053,0.026,0.023
0,0.041,0.026,0.024
