,DS,MV,proposed1(wcv)
0,0.8059999999999999,0.944,0.961
1,0.804,0.927,0.955
2,0.851,0.913,0.965
3,0.828,0.924,0.963
4,0.7959999999999999,0.9259999999999999,0.9490000000000001
0,0.813,0.938,0.958
0,0.799,0.917,0.959
0,0.811,0.918,0.953
0,0.82,0.922,0.949
0,0.811,0.901,0.956
0,0.83,0.879,0.95
0,0.85,0.894,0.964
0,0.833,0.883,0.96
0,0.816,0.874,0.954
0,0.839,0.882,0.962
0,0.825,0.844,0.95
0,0.814,0.827,0.958
0,0.825,0.867,0.949
0,0.804,0.823,0.953
0,0.802,0.818,0.956
0,0.81,0.823,0.955
0,0.841,0.806,0.963
0,0.826,0.832,0.945
0,0.806,0.817,0.964
0,0.82,0.809,0.944
0,0.856,0.775,0.971
0,0.826,0.772,0.964
0,0.838,0.726,0.965
0,0.837,0.749,0.957
0,0.801,0.735,0.954
0,0.801,0.744,0.96
0,0.807,0.695,0.955
0,0.819,0.677,0.958
0,0.821,0.706,0.95
0,0.823,0.712,0.958
0,0.813,0.655,0.949
0,0.799,0.649,0.962
0,0.837,0.698,0.958
0,0.822,0.653,0.961
0,0.835,0.679,0.963
0,0.815,0.628,0.949
0,0.815,0.622,0.959
0,0.872,0.614,0.974
0,0.832,0.593,0.96
0,0.83,0.537,0.968
0,0.811,0.509,0.964
0,0.819,0.566,0.958
0,0.858,0.558,0.961
0,0.79,0.544,0.945
0,0.773,0.553,0.951
0,0.84,0.494,0.969
