,DS,MV,proposed1(wcv),x
0,0.7,0.9,0.929,0.0
1,0.7,0.902,0.9359999999999999,0.01
2,0.7,0.884,0.935,0.02
3,0.7,0.8809999999999999,0.9329999999999999,0.03
4,0.7,0.871,0.9279999999999999,0.04
5,0.7,0.878,0.9259999999999999,0.05
6,0.7,0.866,0.93,0.06
7,0.7,0.8540000000000001,0.926,0.07
8,0.7,0.838,0.921,0.08
9,0.7,0.845,0.93,0.09
10,0.7,0.815,0.924,0.1
11,0.7,0.78,0.903,0.11
12,0.7,0.7959999999999999,0.921,0.12
13,0.7,0.792,0.912,0.13
14,0.7,0.767,0.917,0.14
15,0.7,0.758,0.892,0.15
16,0.7,0.775,0.939,0.16
17,0.7,0.737,0.925,0.17
18,0.7,0.7490000000000001,0.92,0.18
19,0.7,0.7020000000000001,0.89,0.19
20,0.7,0.6990000000000001,0.8909999999999999,0.2
21,0.7,0.7140000000000001,0.8959999999999999,0.21
22,0.7,0.7240000000000001,0.935,0.22
23,0.7,0.722,0.905,0.23
24,0.7,0.677,0.9,0.24
25,0.7,0.693,0.922,0.25
26,0.7,0.705,0.867,0.26
27,0.7,0.693,0.925,0.27
28,0.7,0.66,0.919,0.28
29,0.7,0.655,0.9309999999999999,0.29
0,0.7,0.648,0.907,0.3
0,0.7,0.645,0.889,0.31
0,0.7,0.62,0.899,0.32
