,DS,MV,proposed1(wcv)
0,1.0,1.0,1.0
0,1.0,1.0,1.0
0,1.0,1.0,1.0
0,1.0,1.0,1.0
0,1.0,1.0,1.0
0,1.0,0.99,1.0
0,1.0,1.0,1.0
0,1.0,1.0,1.0
0,1.0,1.0,1.0
0,1.0,0.99,1.0
0,1.0,0.99,1.0
0,1.0,0.99,1.0
0,1.0,0.99,1.0
0,1.0,0.97,1.0
0,1.0,0.98,1.0
0,1.0,0.98,1.0
0,1.0,0.97,1.0
0,1.0,0.92,1.0
0,1.0,0.92,1.0
0,1.0,0.81,1.0
0,1.0,0.86,1.0
0,1.0,0.82,1.0
0,1.0,0.74,1.0
0,1.0,0.65,1.0
0,1.0,0.57,0.55
0,1.0,0.54,0.5
0,0.0,0.36,0.0
0,0.0,0.4,0.5
0,0.0,0.21,0.0
0,0.0,0.24,0.0
0,0.0,0.16,0.0
0,0.0,0.16,0.0
0,0.0,0.16,0.0
0,0.0,0.11,0.0
0,0.0,0.02,0.0
0,0.0,0.05,0.0
0,0.0,0.06,0.0
0,0.0,0.05,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
