,DS,MV,proposed1(wcv)
0,0.7,0.898,0.914
1,0.7,0.896,0.895
2,0.7,0.892,0.907
3,0.7,0.878,0.902
4,0.7,0.885,0.895
5,0.7,0.855,0.885
6,0.7,0.864,0.872
7,0.7,0.834,0.912
8,0.7,0.816,0.889
9,0.7,0.832,0.846
10,0.7,0.802,0.86
11,0.7,0.827,0.889
12,0.7,0.806,0.871
13,0.7,0.817,0.869
14,0.7,0.773,0.832
15,0.7,0.77,0.887
16,0.7,0.753,0.888
17,0.7,0.795,0.797
18,0.7,0.735,0.809
19,0.7,0.736,0.828
20,0.7,0.748,0.867
21,0.7,0.717,0.858
22,0.7,0.733,0.828
23,0.7,0.709,0.829
24,0.7,0.677,0.793
25,0.7,0.706,0.831
26,0.7,0.672,0.823
27,0.7,0.676,0.853
28,0.7,0.683,0.836
29,0.7,0.653,0.782
30,0.7,0.64,0.838
31,0.7,0.641,0.77
32,0.7,0.632,0.792
33,0.7,0.631,0.751
34,0.7,0.572,0.71
35,0.7,0.609,0.849
36,0.7,0.597,0.866
37,0.7,0.613,0.709
38,0.7,0.59,0.786
39,0.7,0.571,0.76
40,0.7,0.59,0.71
41,0.7,0.556,0.713
42,0.7,0.558,0.737
43,0.7,0.561,0.702
44,0.7,0.537,0.732
45,0.7,0.531,0.701
46,0.7,0.54,0.706
47,0.7,0.5,0.524
48,0.7,0.526,0.559
49,0.7,0.494,0.704
50,0.3,0.488,0.276
